sub,rt,congruent,acc
280413,-0.8015927205021739,congruent,correct
280418,-0.6324844686890998,congruent,correct
280419,-0.8293200463606366,congruent,correct
280420,-0.9200222703645654,congruent,correct
280422,-0.7943071122560441,congruent,correct
280428,-0.7906626265862998,congruent,correct
280429,-0.9008791079747561,congruent,correct
280430,-0.8788441233107979,congruent,correct
280433,-0.8395020149394982,congruent,correct
280435,-0.9537587125704352,congruent,correct
280436,-0.7973865403855152,congruent,correct
280437,-1.0428377612761446,congruent,correct
280438,-0.7238210943798737,congruent,correct
280440,-0.6915773726939843,congruent,correct
280441,-0.7772177543591374,congruent,correct
280444,-0.7453803387084091,congruent,correct
280281,-0.6507428692922672,incongruent,correct
280282,-0.6076411827870567,incongruent,correct
280283,-0.5416646777187412,incongruent,correct
280284,-0.5893767145539401,incongruent,correct
280285,-0.5882728585070341,incongruent,correct
280286,-0.8024861020988093,incongruent,correct
280288,-0.6019441697910225,incongruent,correct
280289,-0.7000321830281961,incongruent,correct
280292,-0.6652538374340121,incongruent,correct
280297,-0.6219135697000185,incongruent,correct
280298,-0.7856963190209503,incongruent,correct
280299,-0.6640085833859718,incongruent,correct
280300,-0.6660913578235483,incongruent,correct
280301,-0.5389374344755015,incongruent,correct
280302,-0.598486527989968,incongruent,correct
280303,-0.6604386460975734,incongruent,correct
280304,-0.8013741021045196,incongruent,correct
280305,-0.5859330178503316,incongruent,correct
280306,-0.6793553974512005,incongruent,correct
280307,-0.6612606519836575,incongruent,correct
280308,-0.6992439754786189,incongruent,correct
280309,-0.7159821175319218,incongruent,correct
280310,-0.6100645984471442,incongruent,correct
280311,-0.6377126482010589,incongruent,correct
280312,-0.7223255173565744,incongruent,correct
280313,-0.6612797023600444,incongruent,correct
280314,-0.6953411197639845,incongruent,correct
280315,-0.662107889701388,incongruent,correct
280316,-0.7039825323911688,incongruent,correct
280317,-0.7505785342519696,incongruent,correct
280318,-0.6335730844537968,incongruent,correct
280320,-0.7673347349639049,incongruent,correct
280321,-0.6169563944158019,incongruent,correct
280322,-0.7582402480703215,incongruent,correct
280325,-0.6235285066382463,incongruent,correct
280326,-0.6759331894241807,incongruent,correct
280327,-0.6078258790281048,incongruent,correct
280328,-0.7041740030417136,incongruent,correct
280329,-0.6688358041319219,incongruent,correct
280330,-0.6263246870895933,incongruent,correct
280332,-0.6724473978164154,incongruent,correct
280333,-0.5756345534806063,incongruent,correct
280334,-0.7268547610454028,incongruent,correct
280335,-0.7264065018041196,incongruent,correct
280336,-0.6988509613517973,incongruent,correct
280337,-0.6922762755013945,incongruent,correct
280339,-0.6834489762357482,incongruent,correct
280340,-0.6253672778467756,incongruent,correct
280342,-0.6212470173522621,incongruent,correct
280343,-0.71402511635074,incongruent,correct
280344,-0.732638240823816,incongruent,correct
280345,-0.6413260429558212,incongruent,correct
280346,-0.7918939272651278,incongruent,correct
280347,-0.607143147965345,incongruent,correct
280349,-0.6392157544045879,incongruent,correct
280350,-0.6970747382283714,incongruent,correct
280351,-0.6102802939726577,incongruent,correct
280352,-0.7490606563502172,incongruent,correct
280353,-0.84236748882866,incongruent,correct
280354,-0.7109387396657906,incongruent,correct
280355,-0.7590536579219734,incongruent,correct
280356,-0.5678634525958903,incongruent,correct
280357,-0.7704969145066505,incongruent,correct
280360,-0.6954436964299338,incongruent,correct
280361,-0.6557362284683196,incongruent,correct
280362,-0.6004241333415912,incongruent,correct
280363,-0.6297025799359035,incongruent,correct
280364,-0.5945936768183221,incongruent,correct
280365,-0.7145635986848097,incongruent,correct
280367,-0.6359549504172375,incongruent,correct
280368,-0.6825667431372474,incongruent,correct
280369,-0.6204015595419731,incongruent,correct
280370,-0.7052584964484235,incongruent,correct
280371,-0.7259823574350343,incongruent,correct
280372,-0.7797264799047086,incongruent,correct
280373,-0.5515269831962962,incongruent,correct
280374,-0.6658761048697991,incongruent,correct
280375,-0.6607658452291422,incongruent,correct
280376,-0.7288100787875137,incongruent,correct
280377,-0.7686447794787623,incongruent,correct
280379,-0.6579704488996816,incongruent,correct
280380,-0.7126690673193907,incongruent,correct
280383,-0.6581888055995293,incongruent,correct
280384,-0.6323099361671867,incongruent,correct
280385,-0.6807397468786769,incongruent,correct
280386,-0.6952722135155937,incongruent,correct
280387,-0.7460633299912477,incongruent,correct
280389,-0.664091753021128,incongruent,correct
280391,-0.6616140792137376,incongruent,correct
280392,-0.7426131115724444,incongruent,correct
280395,-0.6415402250413703,incongruent,correct
280396,-0.650729199170653,incongruent,correct
280398,-0.6605590282654462,incongruent,correct
280403,-0.686489776484969,incongruent,correct
280404,-0.6640982348445319,incongruent,correct
280405,-0.6726200331057219,incongruent,correct
280406,-0.5182540472472992,incongruent,correct
280407,-0.6050008806429854,incongruent,correct
280408,-0.7617398076715175,incongruent,correct
280409,-0.7973332835440122,incongruent,correct
280411,-0.7220025150129743,incongruent,correct
280412,-0.6807479520483088,incongruent,correct
280413,-0.6424685589306875,incongruent,correct
280418,-0.5485551439811811,incongruent,correct
280419,-0.6556062527584564,incongruent,correct
280420,-0.6989625594999642,incongruent,correct
280422,-0.6860464408543697,incongruent,correct
280428,-0.6392551615341349,incongruent,correct
280429,-0.7459133135537056,incongruent,correct
280430,-0.693428168775597,incongruent,correct
280433,-0.6563690847237259,incongruent,correct
280435,-0.7691089293550816,incongruent,correct
280436,-0.6604555627407909,incongruent,correct
280437,-0.7893188365765289,incongruent,correct
280438,-0.5875080172365498,incongruent,correct
280440,-0.6040790369670745,incongruent,correct
280441,-0.5828657500483889,incongruent,correct
280444,-0.6074540556666702,incongruent,correct
280281,-0.8978205254811094,congruent,incorrect
280282,,congruent,incorrect
280283,,congruent,incorrect
280284,-0.8310878231704754,congruent,incorrect
280285,-0.6042251035572996,congruent,incorrect
280286,-0.7859370393159838,congruent,incorrect
280288,,congruent,incorrect
280289,-0.786213673571538,congruent,incorrect
280292,-0.7010962528102578,congruent,incorrect
280297,-0.6198917003146979,congruent,incorrect
280298,-0.838958982283402,congruent,incorrect
280299,-0.5834590146512787,congruent,incorrect
280300,-0.9071292794371909,congruent,incorrect
280301,-0.8397793423838744,congruent,incorrect
280302,-0.6837613798449168,congruent,incorrect
280303,-0.9092764378291093,congruent,incorrect
280304,-0.9586036812922263,congruent,incorrect
280305,-0.45864181688524064,congruent,incorrect
280306,-0.7464060203653519,congruent,incorrect
280307,-0.8702323256515789,congruent,incorrect
280308,-1.1001594849733272,congruent,incorrect
280309,-1.2159410153677639,congruent,incorrect
280310,-0.807196614631218,congruent,incorrect
280311,,congruent,incorrect
280312,-0.8017739634448653,congruent,incorrect
280313,-0.951374616051548,congruent,incorrect
280314,-0.7850875593119723,congruent,incorrect
280315,-0.5693986848810882,congruent,incorrect
280316,-1.0248987371335134,congruent,incorrect
280317,-1.065526341318162,congruent,incorrect
280318,-0.6171968138505335,congruent,incorrect
280320,,congruent,incorrect
280321,,congruent,incorrect
280322,,congruent,incorrect
280325,-0.7386728821611965,congruent,incorrect
280326,-0.47256338252909097,congruent,incorrect
280327,,congruent,incorrect
280328,-0.8790845789684127,congruent,incorrect
280329,,congruent,incorrect
280330,,congruent,incorrect
280332,-0.743507633670492,congruent,incorrect
280333,-1.0363376795501738,congruent,incorrect
280334,,congruent,incorrect
280335,,congruent,incorrect
280336,-0.656753729549012,congruent,incorrect
280337,-0.44551224664433564,congruent,incorrect
280339,,congruent,incorrect
280340,-0.7727615622896246,congruent,incorrect
280342,-0.8865664305377395,congruent,incorrect
280343,-0.800763349588775,congruent,incorrect
280344,-0.8166108858633422,congruent,incorrect
280345,-0.750608763854214,congruent,incorrect
280346,-0.7718651160493452,congruent,incorrect
280347,-0.6192504899725066,congruent,incorrect
280349,-0.8085325754956378,congruent,incorrect
280350,-0.8170473777455919,congruent,incorrect
280351,-0.8338081567560545,congruent,incorrect
280352,-0.5682241841611705,congruent,incorrect
280353,-1.1844428941724212,congruent,incorrect
280354,-0.7530097177868045,congruent,incorrect
280355,-0.9969798647694761,congruent,incorrect
280356,-1.1476520188801158,congruent,incorrect
280357,-0.9050381657493483,congruent,incorrect
280360,-1.285366174769483,congruent,incorrect
280361,,congruent,incorrect
280362,-1.082766201033678,congruent,incorrect
280363,-0.985218111490949,congruent,incorrect
280364,-0.6238503169259388,congruent,incorrect
280365,,congruent,incorrect
280367,-0.5901405055622265,congruent,incorrect
280368,-0.840964752605503,congruent,incorrect
280369,-0.7477121638948501,congruent,incorrect
280370,-1.1303459887690548,congruent,incorrect
280371,-0.8408505063390965,congruent,incorrect
280372,-1.0505466096684213,congruent,incorrect
280373,-0.5522680705777033,congruent,incorrect
280374,,congruent,incorrect
280375,-1.0277126362976459,congruent,incorrect
280376,-0.8908280543981832,congruent,incorrect
280377,,congruent,incorrect
280379,-0.8977338805635297,congruent,incorrect
280380,,congruent,incorrect
280383,-0.8029016686738115,congruent,incorrect
280384,-0.734216497310039,congruent,incorrect
280385,-0.9172220903031657,congruent,incorrect
280386,-1.0982014884979425,congruent,incorrect
280387,-0.6782898566703326,congruent,incorrect
280389,-0.471445195712118,congruent,incorrect
280391,-0.8252494234967321,congruent,incorrect
280392,-1.0362108931341538,congruent,incorrect
280395,-0.5833107317278158,congruent,incorrect
280396,,congruent,incorrect
280398,,congruent,incorrect
280403,-0.7003440652841233,congruent,incorrect
280404,-0.631050463409254,congruent,incorrect
280405,-0.7370099175428257,congruent,incorrect
280406,,congruent,incorrect
280407,,congruent,incorrect
280408,,congruent,incorrect
280409,-0.987809227216897,congruent,incorrect
