sub,congruent,acc,fl_rt,similarity,jitter,cong_effect
280281,1.0,1.0,0.4065368000010494,2.0,0.46358759999930044,0.16667332351025865
280281,1.0,1.0,0.4283126000009361,3.0,0.015579999999317806,0.16667332351025865
280281,0.0,0.0,0.43795719999980065,2.0,0.7342481999985466,0.16667332351025865
280281,0.0,1.0,0.43780239999614423,3.0,0.21718680000049062,0.16667332351025865
280281,0.0,0.0,0.42769960000077845,3.0,0.5005478999992192,0.16667332351025865
280281,1.0,1.0,0.43007980000038515,2.0,0.016646700001729187,0.16667332351025865
280281,0.0,1.0,0.6102387999999337,3.0,0.08340790000147535,0.16667332351025865
280281,0.0,1.0,0.5462106999984826,3.0,0.7006191000000399,0.16667332351025865
280281,1.0,1.0,0.527760799999669,3.0,0.6005722000008973,0.16667332351025865
280281,1.0,1.0,0.4437114999964251,3.0,0.36694559999887133,0.16667332351025865
280281,0.0,1.0,0.5366157999997085,1.0,0.2834470000016154,0.16667332351025865
280281,1.0,1.0,0.4506227999991097,2.0,0.6839894000004278,0.16667332351025865
280281,0.0,1.0,0.5280521000022418,1.0,0.41707490000044345,0.16667332351025865
280281,1.0,1.0,0.4945650999979989,2.0,0.20026920000236714,0.16667332351025865
280281,0.0,1.0,0.5043442000023788,3.0,0.2332047000018065,0.16667332351025865
280281,0.0,1.0,0.5065702999963833,1.0,0.6509019999975862,0.16667332351025865
280281,1.0,1.0,0.47305190000042785,1.0,0.13329840000005788,0.16667332351025865
280281,1.0,1.0,0.5096472999975958,3.0,0.5004632000018319,0.16667332351025865
280281,0.0,1.0,0.6090407999981835,1.0,0.20029710000017076,0.16667332351025865
280281,1.0,1.0,0.4019297999984701,2.0,0.5505976000022201,0.16667332351025865
280281,0.0,1.0,0.4845791999978246,2.0,0.5340396999999939,0.16667332351025865
280281,0.0,1.0,0.5455494999987422,3.0,0.10004589999880409,0.16667332351025865
280281,0.0,1.0,0.6020223000014084,2.0,0.23319810000248253,0.16667332351025865
280281,1.0,1.0,0.5195398999967438,2.0,0.0834577999994508,0.16667332351025865
280281,1.0,1.0,0.39324240000132704,1.0,0.6339722000011534,0.16667332351025865
280281,1.0,1.0,0.48295900000084657,1.0,0.15007759999934933,0.16667332351025865
280281,0.0,1.0,0.38551409999854513,3.0,0.533988600000157,0.16667332351025865
280281,0.0,0.0,0.3981698999996297,3.0,0.20052050000242616,0.16667332351025865
280281,1.0,1.0,0.4517907999979798,3.0,0.20048529999985476,0.16667332351025865
280281,0.0,1.0,0.5188826999983576,3.0,0.18362680000086584,0.16667332351025865
280281,1.0,1.0,0.5103183999999601,3.0,0.483618599999204,0.16667332351025865
280281,0.0,1.0,0.5447043999993184,1.0,0.26649279999764985,0.16667332351025865
280281,0.0,1.0,0.5202839999983553,1.0,0.467188799997416,0.16667332351025865
280281,0.0,1.0,0.5726189999986673,2.0,0.03330600000117556,0.16667332351025865
280281,1.0,1.0,0.4060943000004045,3.0,0.5003308999985165,0.16667332351025865
280281,1.0,1.0,0.5162119000015082,2.0,0.5842351999999664,0.16667332351025865
280281,0.0,1.0,0.4948279999989609,1.0,0.6339841999979399,0.16667332351025865
280281,1.0,1.0,0.42906109999967157,3.0,0.4004206999998132,0.16667332351025865
280281,1.0,1.0,0.5103724000000511,2.0,0.5008018999980095,0.16667332351025865
280281,1.0,1.0,0.5209899000001315,2.0,0.6337539999985893,0.16667332351025865
280281,0.0,1.0,0.5561010999990685,1.0,0.5844528000018272,0.16667332351025865
