sub,congruent,proportion
280318,fl_acc_incon,0.8776595744680851
280320,fl_acc_incon,0.7236180904522613
280321,fl_acc_incon,0.7411167512690355
280322,fl_acc_incon,0.8404255319148937
280325,fl_acc_incon,0.8108108108108109
280326,fl_acc_incon,0.7165775401069518
280327,fl_acc_incon,0.9080459770114943
280328,fl_acc_incon,0.6
280329,fl_acc_incon,0.7105263157894737
280330,fl_acc_incon,0.9675675675675676
280332,fl_acc_incon,0.8994708994708994
280333,fl_acc_incon,0.6790123456790124
280334,fl_acc_incon,0.8306878306878307
280335,fl_acc_incon,0.9246231155778895
280336,fl_acc_incon,0.8102564102564103
280337,fl_acc_incon,0.7929292929292929
280339,fl_acc_incon,0.8697916666666666
280340,fl_acc_incon,0.7869822485207101
280342,fl_acc_incon,0.7796610169491526
280343,fl_acc_incon,0.8888888888888888
280344,fl_acc_incon,0.8652849740932642
280345,fl_acc_incon,0.7818181818181819
280346,fl_acc_incon,0.9346733668341709
280347,fl_acc_incon,0.9273743016759777
280349,fl_acc_incon,0.9057591623036649
280350,fl_acc_incon,0.8138297872340425
280351,fl_acc_incon,0.6408839779005525
280352,fl_acc_incon,0.9642857142857143
280353,fl_acc_incon,0.71
280354,fl_acc_incon,0.8975903614457831
280355,fl_acc_incon,0.9162303664921466
280356,fl_acc_incon,0.8653846153846154
280357,fl_acc_incon,0.7939698492462312
280360,fl_acc_incon,0.66
280361,fl_acc_incon,0.6898395721925134
280362,fl_acc_incon,0.7586206896551724
280363,fl_acc_incon,0.7005347593582888
280364,fl_acc_incon,0.9611111111111111
280365,fl_acc_incon,0.8324607329842932
280367,fl_acc_incon,0.6994219653179191
280368,fl_acc_incon,0.8032786885245902
280369,fl_acc_incon,0.8375
280370,fl_acc_incon,0.8426395939086294
280371,fl_acc_incon,0.7150259067357513
280372,fl_acc_incon,0.6507936507936508
280373,fl_acc_incon,0.8160919540229885
280374,fl_acc_incon,0.8358974358974359
280375,fl_acc_incon,0.7593582887700535
280376,fl_acc_incon,0.8307692307692308
280377,fl_acc_incon,0.79
280379,fl_acc_incon,0.5425531914893617
280380,fl_acc_incon,0.9583333333333334
280383,fl_acc_incon,0.7085427135678392
280384,fl_acc_incon,0.71875
280385,fl_acc_incon,0.8449197860962567
280386,fl_acc_incon,0.6666666666666666
280387,fl_acc_incon,0.9538461538461539
280389,fl_acc_incon,0.8352272727272727
280391,fl_acc_incon,0.7947368421052632
280392,fl_acc_incon,0.9625668449197861
280395,fl_acc_incon,0.8216216216216217
280396,fl_acc_incon,0.9574468085106383
280398,fl_acc_incon,0.9417989417989417
280403,fl_acc_incon,0.7927461139896373
280404,fl_acc_incon,0.6649484536082474
280405,fl_acc_incon,0.7474226804123711
280406,fl_acc_incon,0.9735099337748344
280407,fl_acc_incon,0.9036144578313253
280408,fl_acc_incon,0.8090452261306532
280409,fl_acc_incon,0.7638190954773869
280411,fl_acc_incon,0.8932584269662921
280412,fl_acc_incon,0.9111111111111111
280413,fl_acc_incon,0.6686390532544378
280418,fl_acc_incon,0.8963414634146342
280419,fl_acc_incon,0.8595505617977528
280420,fl_acc_incon,0.9076923076923077
280422,fl_acc_incon,0.5769230769230769
280428,fl_acc_incon,0.7015706806282722
280429,fl_acc_incon,0.7806122448979592
280430,fl_acc_incon,0.8010204081632653
280433,fl_acc_incon,0.6825396825396826
280435,fl_acc_incon,0.7035175879396985
280436,fl_acc_incon,0.8846153846153846
280437,fl_acc_incon,0.625
280438,fl_acc_incon,0.94
280440,fl_acc_incon,0.8707865168539326
280441,fl_acc_incon,0.5785714285714286
280444,fl_acc_incon,0.7590361445783133
