sub,hr,congruent,rsi
280411,0.2692307692307692,1,1
280412,0.5,1,1
280413,0.48,1,1
280418,0.5833333333333334,1,1
280419,0.6190476190476191,1,1
280420,0.45,1,1
280422,0.3333333333333333,1,1
280428,0.3333333333333333,1,1
280429,0.43478260869565216,1,1
280430,0.2857142857142857,1,1
280433,0.6190476190476191,1,1
280435,0.5666666666666667,1,1
280436,0.42105263157894735,1,1
280437,0.3076923076923077,1,1
280438,0.45,1,1
280440,0.3548387096774194,1,1
280444,0.375,1,1
280281,0.4,0,1
280282,0.5,0,1
280283,0.35294117647058826,0,1
280285,0.5833333333333334,0,1
280286,0.5217391304347826,0,1
280288,0.64,0,1
280289,0.47058823529411764,0,1
280292,0.5,0,1
280297,0.4,0,1
280298,0.42857142857142855,0,1
280299,0.15384615384615385,0,1
280300,0.5555555555555556,0,1
280301,0.4444444444444444,0,1
280302,0.2,0,1
280303,0.5,0,1
280304,0.38461538461538464,0,1
280305,0.5,0,1
280306,0.4375,0,1
280307,0.5625,0,1
280308,0.43478260869565216,0,1
280309,0.6666666666666666,0,1
280310,0.3888888888888889,0,1
280311,0.5769230769230769,0,1
280312,0.5,0,1
280313,0.3125,0,1
280314,0.6923076923076923,0,1
280315,0.3333333333333333,0,1
280316,0.4666666666666667,0,1
280317,0.4166666666666667,0,1
280318,0.45454545454545453,0,1
280320,0.4666666666666667,0,1
280321,0.4,0,1
280322,0.3125,0,1
280325,0.375,0,1
280326,0.42857142857142855,0,1
280327,0.4375,0,1
280328,0.4,0,1
280329,0.3888888888888889,0,1
280330,0.3888888888888889,0,1
280332,0.47368421052631576,0,1
280333,0.45454545454545453,0,1
280334,0.5625,0,1
280335,0.6363636363636364,0,1
280336,0.375,0,1
280337,0.47368421052631576,0,1
280339,0.42105263157894735,0,1
280340,0.5,0,1
280342,0.35294117647058826,0,1
280343,0.4583333333333333,0,1
280344,0.5652173913043478,0,1
280345,0.6,0,1
280346,0.35,0,1
280347,0.4666666666666667,0,1
280349,0.47058823529411764,0,1
280350,0.5555555555555556,0,1
280351,0.17647058823529413,0,1
280352,0.5555555555555556,0,1
280353,0.4166666666666667,0,1
280354,0.23076923076923078,0,1
280355,0.5909090909090909,0,1
280356,0.5714285714285714,0,1
280357,0.6,0,1
280360,0.4666666666666667,0,1
280361,0.5333333333333333,0,1
280362,0.1,0,1
280363,0.6363636363636364,0,1
280364,0.42857142857142855,0,1
280365,0.4230769230769231,0,1
280367,0.2,0,1
280368,0.5714285714285714,0,1
280369,0.4375,0,1
280370,0.32,0,1
280371,0.4,0,1
280372,0.5,0,1
280373,0.4666666666666667,0,1
280374,0.42105263157894735,0,1
280375,0.2857142857142857,0,1
280376,0.46153846153846156,0,1
280377,0.625,0,1
280379,0.45454545454545453,0,1
280380,0.34782608695652173,0,1
280383,0.3333333333333333,0,1
280384,0.47058823529411764,0,1
280385,0.52,0,1
280386,0.21428571428571427,0,1
280387,0.21739130434782608,0,1
280389,0.3333333333333333,0,1
280391,0.46153846153846156,0,1
280392,0.5,0,1
280395,0.4,0,1
280396,0.14285714285714285,0,1
280398,0.5555555555555556,0,1
280403,0.23809523809523808,0,1
280404,0.6923076923076923,0,1
280405,0.6428571428571429,0,1
280406,0.5,0,1
280408,0.47368421052631576,0,1
280409,0.4117647058823529,0,1
280411,0.3333333333333333,0,1
280412,0.25,0,1
280413,0.5333333333333333,0,1
280418,0.4642857142857143,0,1
280419,0.5882352941176471,0,1
280420,0.6086956521739131,0,1
280422,0.46153846153846156,0,1
