sub,resp_type,proportion
280119,1,0.17692307692307693
280122,1,0.2894736842105263
280123,1,0.23351648351648352
280126,1,0.33064516129032256
280127,1,0.18498659517426275
280128,1,0.20207253886010362
280131,1,0.21891891891891893
280133,1,0.2994652406417112
280134,1,0.2544529262086514
280135,1,0.1918918918918919
280137,1,0.18840579710144928
280138,1,0.2923076923076923
280141,1,0.192
280142,1,0.29295774647887324
280143,1,0.29277566539923955
280144,1,0.20822622107969152
280145,1,0.1700507614213198
280146,1,0.1935483870967742
280147,1,0.26301369863013696
280148,1,0.2268041237113402
280153,1,0.24057971014492754
280154,1,0.2541899441340782
280156,1,0.34025974025974026
280157,1,0.27348066298342544
280159,1,0.22739018087855298
280160,1,0.18548387096774194
280161,1,0.25857519788918204
280162,1,0.23809523809523808
280163,1,0.2794871794871795
280164,1,0.22459893048128343
280165,1,0.3367088607594937
280166,1,0.14984709480122324
280167,1,0.15977961432506887
280168,1,0.3418803418803419
280169,1,0.195906432748538
280170,1,0.18556701030927836
280171,1,0.12684365781710916
280172,1,0.29427792915531337
280187,1,0.15544041450777202
280188,1,0.23333333333333334
280191,1,0.13010204081632654
280192,1,0.17270194986072424
280193,1,0.22346368715083798
280197,1,0.32180851063829785
280198,1,0.2515923566878981
280199,1,0.1942257217847769
280200,1,0.17098445595854922
280202,1,0.1913265306122449
280203,1,0.2578125
280205,1,0.25935828877005346
280206,1,0.19881305637982197
280208,1,0.20689655172413793
280210,1,0.24057971014492754
280223,1,0.20113314447592068
280232,1,0.20614035087719298
280233,1,0.3087818696883853
280239,1,0.34806629834254144
280242,1,0.17766497461928935
280275,1,0.2699228791773779
280276,1,0.2230971128608924
280277,1,0.2852941176470588
280278,1,0.20903954802259886
280279,1,0.20466321243523317
280119,2,0.5153846153846153
280122,2,0.35526315789473684
280123,2,0.4175824175824176
280126,2,0.3225806451612903
280127,2,0.48257372654155495
280128,2,0.4637305699481865
280131,2,0.3621621621621622
280133,2,0.3770053475935829
280134,2,0.3435114503816794
280135,2,0.4756756756756757
280137,2,0.42318840579710143
280138,2,0.4128205128205128
280141,2,0.448
280142,2,0.38028169014084506
280143,2,0.3688212927756654
280144,2,0.4370179948586118
280145,2,0.5025380710659898
280146,2,0.5779569892473119
280147,2,0.43561643835616437
280148,2,0.4381443298969072
280153,2,0.3652173913043478
280154,2,0.4106145251396648
280156,2,0.32727272727272727
280157,2,0.4005524861878453
280159,2,0.537467700258398
280160,2,0.4650537634408602
280161,2,0.39313984168865435
280162,2,0.484593837535014
280163,2,0.43333333333333335
280164,2,0.4304812834224599
280165,2,0.31645569620253167
280166,2,0.4740061162079511
280167,2,0.5234159779614325
280168,2,0.31054131054131057
280169,2,0.5526315789473685
280170,2,0.5360824742268041
280171,2,0.4424778761061947
280172,2,0.3678474114441417
280187,2,
280188,2,0.48205128205128206
280191,2,
280192,2,0.532033426183844
280193,2,0.4273743016759777
280197,2,0.36436170212765956
280198,2,0.43312101910828027
280199,2,0.5118110236220472
280200,2,0.3963730569948187
280202,2,0.4107142857142857
280203,2,0.421875
280205,2,0.46524064171123
280206,2,0.4540059347181009
280208,2,0.4166666666666667
280210,2,0.4927536231884058
280223,2,0.45892351274787535
280232,2,0.4342105263157895
280233,2,0.33994334277620397
280239,2,0.36187845303867405
280242,2,0.5228426395939086
280275,2,0.442159383033419
280276,2,0.3884514435695538
280277,2,0.3411764705882353
280278,2,0.480225988700565
280279,2,0.45077720207253885
280119,3,0.3076923076923077
280122,3,0.35526315789473684
280123,3,0.3489010989010989
280126,3,0.3467741935483871
280127,3,0.3324396782841823
280128,3,0.33419689119170987
280131,3,0.4189189189189189
280133,3,0.3235294117647059
280134,3,0.4020356234096692
280135,3,0.3324324324324324
280137,3,0.3884057971014493
280138,3,0.2948717948717949
280141,3,0.36
280142,3,0.3267605633802817
280143,3,0.33840304182509506
280144,3,0.35475578406169667
280145,3,0.32741116751269034
280146,3,0.22849462365591397
280147,3,0.3013698630136986
280148,3,0.33505154639175255
280153,3,0.39420289855072466
280154,3,0.33519553072625696
280156,3,0.33246753246753247
280157,3,0.3259668508287293
280159,3,0.2351421188630491
280160,3,0.34946236559139787
280161,3,0.3482849604221636
280162,3,0.2773109243697479
280163,3,0.28717948717948716
280164,3,0.3449197860962567
280165,3,0.3468354430379747
280166,3,0.3761467889908257
280167,3,0.3168044077134986
280168,3,0.3475783475783476
280169,3,0.25146198830409355
280170,3,0.27835051546391754
280171,3,0.4306784660766962
280172,3,0.33787465940054495
280187,3,
280188,3,0.2846153846153846
280191,3,
280192,3,0.29526462395543174
280193,3,0.34916201117318435
280197,3,0.31382978723404253
280198,3,0.31528662420382164
280199,3,0.29396325459317585
280200,3,0.4326424870466321
280202,3,0.3979591836734694
280203,3,0.3203125
280205,3,0.27540106951871657
280206,3,0.34718100890207715
280208,3,0.3764367816091954
280210,3,0.26666666666666666
280223,3,0.33994334277620397
280232,3,0.35964912280701755
280233,3,0.35127478753541075
280239,3,0.2900552486187845
280242,3,0.29949238578680204
280275,3,0.2879177377892031
280276,3,0.3884514435695538
280277,3,0.3735294117647059
280278,3,0.3107344632768362
280279,3,0.344559585492228
