sub,rt,congruent,acc
280162,-0.6453995135115869,congruent,incorrect
280163,,congruent,incorrect
280164,-1.0863453992856538,congruent,incorrect
280165,-0.9141669853170549,congruent,incorrect
280166,,congruent,incorrect
280167,-0.5674268399402652,congruent,incorrect
280168,-0.7855668952090081,congruent,incorrect
280169,-0.982976208372376,congruent,incorrect
280170,-0.8000663009892042,congruent,incorrect
280171,,congruent,incorrect
280172,-1.01070261119303,congruent,incorrect
280187,-0.9720627201972296,congruent,incorrect
280188,,congruent,incorrect
280191,-0.97737247096583,congruent,incorrect
280192,-0.7630410327146858,congruent,incorrect
280193,-0.6414995706039183,congruent,incorrect
280197,-1.0354955367119127,congruent,incorrect
280198,,congruent,incorrect
280199,-0.9079861415061904,congruent,incorrect
280200,-1.1051733558413712,congruent,incorrect
280202,-0.9682193361178881,congruent,incorrect
280203,,congruent,incorrect
280205,,congruent,incorrect
280206,,congruent,incorrect
280208,-0.7177967969927316,congruent,incorrect
280210,,congruent,incorrect
280223,-1.1066419404537586,congruent,incorrect
280232,,congruent,incorrect
280233,-0.6714741466952708,congruent,incorrect
280239,,congruent,incorrect
280242,,congruent,incorrect
280275,-0.6768816223363977,congruent,incorrect
280276,-0.7875423310640194,congruent,incorrect
280277,-0.8515068063024877,congruent,incorrect
280278,-0.7514075573427901,congruent,incorrect
280279,-0.9442107631758982,congruent,incorrect
280119,-0.9036515368892168,incongruent,incorrect
280122,-0.8847963723439355,incongruent,incorrect
280123,-0.8504479313012017,incongruent,incorrect
280126,-0.8692265782702735,incongruent,incorrect
280127,-0.8604552103696199,incongruent,incorrect
280128,-0.8512184989904404,incongruent,incorrect
280131,-0.7937683431076071,incongruent,incorrect
280133,-0.8594128749539549,incongruent,incorrect
280134,-0.9295067212173781,incongruent,incorrect
280135,-0.803458281509182,incongruent,incorrect
280137,-0.8458383119877598,incongruent,incorrect
280138,-1.00218680416699,incongruent,incorrect
280141,-0.9277003741661835,incongruent,incorrect
280142,-1.0132884018348638,incongruent,incorrect
280143,-0.8291724439720735,incongruent,incorrect
280144,-0.9071585805846637,incongruent,incorrect
280145,-0.8980394899830709,incongruent,incorrect
280146,-0.8653823015001221,incongruent,incorrect
280147,-0.8240069457001165,incongruent,incorrect
280148,-1.0360081601776718,incongruent,incorrect
280153,-0.7833254536835111,incongruent,incorrect
280154,-0.7562015217968068,incongruent,incorrect
280156,-0.9283634797756786,incongruent,incorrect
280157,-0.9143396660379245,incongruent,incorrect
280159,-0.9041583844764285,incongruent,incorrect
280160,-0.8891305411824199,incongruent,incorrect
280161,-0.9050257248126893,incongruent,incorrect
280162,-0.8868070404711209,incongruent,incorrect
280163,-1.0797036919300531,incongruent,incorrect
280164,-0.9658286886202231,incongruent,incorrect
280165,-0.9162923221552282,incongruent,incorrect
280166,-0.8471345525696359,incongruent,incorrect
280167,-0.8661622055899787,incongruent,incorrect
280168,-0.8592848723559554,incongruent,incorrect
280169,-0.7717951434972611,incongruent,incorrect
280170,-0.7855904244761414,incongruent,incorrect
280171,-0.8532245122305269,incongruent,incorrect
280172,-0.8289806222908231,incongruent,incorrect
280187,-0.9147954385969083,incongruent,incorrect
280188,-0.9624950753135658,incongruent,incorrect
280191,-0.9468089495775345,incongruent,incorrect
280192,-0.7568208248584148,incongruent,incorrect
280193,-0.7247380944800127,incongruent,incorrect
280197,-0.970431952128394,incongruent,incorrect
280198,-0.7827315838291821,incongruent,incorrect
280199,-0.8467016553169574,incongruent,incorrect
280200,-1.0611720844467258,incongruent,incorrect
280202,-0.9105009546292392,incongruent,incorrect
280203,-0.8458947100519074,incongruent,incorrect
280205,-0.9077659714695924,incongruent,incorrect
280206,-0.8499989916437855,incongruent,incorrect
280208,-0.6763496845575259,incongruent,incorrect
280210,-0.8785549099493037,incongruent,incorrect
280223,-0.8390620778789746,incongruent,incorrect
280232,-0.8347462724196258,incongruent,incorrect
280233,-0.8239507683786407,incongruent,incorrect
280239,-0.833068793912113,incongruent,incorrect
280242,-0.8981745994809931,incongruent,incorrect
280275,-0.9004790904159605,incongruent,incorrect
280276,-0.8172227215318186,incongruent,incorrect
280277,-0.7350541112061946,incongruent,incorrect
280278,-0.7801764299515331,incongruent,incorrect
280279,-0.9477596544462084,incongruent,incorrect
