sub,rt,congruent,acc
280119,-0.8896127809502734,congruent,correct
280122,-0.8545576203833616,congruent,correct
280123,-0.7876104536465738,congruent,correct
280126,-0.8035086459119293,congruent,correct
280127,-0.738554976746191,congruent,correct
280128,-0.8305298739395022,congruent,correct
280131,-0.7995257734463009,congruent,correct
280133,-0.8285338042166023,congruent,correct
280134,-0.881463942923597,congruent,correct
280135,-0.7741365324395133,congruent,correct
280137,-0.77242540689909,congruent,correct
280138,-0.9845114729792424,congruent,correct
280141,-0.8221265450633582,congruent,correct
280142,-0.9152565877149212,congruent,correct
280143,-0.6659709833057648,congruent,correct
280144,-0.9053858776910739,congruent,correct
280145,-0.8981386237716485,congruent,correct
280146,-0.8078154112839901,congruent,correct
280147,-0.809418836882241,congruent,correct
280148,-0.996251796264077,congruent,correct
280153,-0.7199140305107282,congruent,correct
280154,-0.7293517171149078,congruent,correct
280156,-0.7798316079326343,congruent,correct
280157,-0.8159539223572785,congruent,correct
280159,-0.8804975749573442,congruent,correct
280160,-0.7966745447358032,congruent,correct
280161,-0.9223222628324608,congruent,correct
280162,-0.7420477279208009,congruent,correct
280163,,congruent,correct
280164,-0.9324318924152797,congruent,correct
280165,-0.9001527436635869,congruent,correct
280166,-0.7554218662398622,congruent,correct
280167,-0.751881359018175,congruent,correct
280168,-0.8158153144964017,congruent,correct
280169,-0.7339293269847261,congruent,correct
280170,-0.7837232440320578,congruent,correct
280171,-0.8905788345253117,congruent,correct
280172,-0.7419033820537536,congruent,correct
280187,-0.851292672497371,congruent,correct
280188,-0.8567557543560569,congruent,correct
280191,-0.941775431364394,congruent,correct
280192,-0.7603614545018941,congruent,correct
280193,-0.721949398404806,congruent,correct
280197,-0.8262693429329584,congruent,correct
280198,-0.7317444760830134,congruent,correct
280199,-0.8343397019019094,congruent,correct
280200,-0.9218846519580227,congruent,correct
280202,-0.8770999612925596,congruent,correct
280203,-0.8495147901875069,congruent,correct
280205,-0.9196565529746545,congruent,correct
280206,-0.8514353031233769,congruent,correct
280208,-0.6949162099810692,congruent,correct
280210,-0.8308851929556279,congruent,correct
280223,-0.7843595622395998,congruent,correct
280232,-0.7502454394781155,congruent,correct
280233,-0.7539844196918689,congruent,correct
280239,-0.7564545312844121,congruent,correct
280242,-0.8769855204627778,congruent,correct
280275,-0.8727368432138292,congruent,correct
280276,-0.8589393792587068,congruent,correct
280277,-0.7294245568827084,congruent,correct
280278,-0.7357308306024243,congruent,correct
280279,-0.8788611241631228,congruent,correct
280119,-0.6980486552046486,incongruent,correct
280122,-0.712181933989426,incongruent,correct
280123,-0.6193225351230729,incongruent,correct
280126,-0.5994703599144194,incongruent,correct
280127,-0.5943415765211899,incongruent,correct
280128,-0.6966577415445672,incongruent,correct
280131,-0.6000965573804108,incongruent,correct
280133,-0.7369043907200629,incongruent,correct
280134,-0.7157691334871976,incongruent,correct
280135,-0.6319523254571852,incongruent,correct
280137,-0.5142437604200201,incongruent,correct
280138,-0.7785635965664701,incongruent,correct
280141,-0.6458876562080587,incongruent,correct
280142,-0.752611693484534,incongruent,correct
280143,-0.5431023233679485,incongruent,correct
280144,-0.7138743627481231,incongruent,correct
280145,-0.7580845750350526,incongruent,correct
280146,-0.5881951333865824,incongruent,correct
280147,-0.6448542288326105,incongruent,correct
280148,-0.782902532086363,incongruent,correct
280153,-0.6094571956512193,incongruent,correct
280154,-0.5779798088801873,incongruent,correct
280156,-0.6932316826572605,incongruent,correct
280157,-0.704513143320205,incongruent,correct
280159,-0.7048140425078773,incongruent,correct
280160,-0.6326457411643128,incongruent,correct
280161,-0.6191285289194625,incongruent,correct
280162,-0.6516908489827362,incongruent,correct
280163,,incongruent,correct
280164,-0.7759427035161292,incongruent,correct
280165,-0.71834810531106,incongruent,correct
280166,-0.5751710237213149,incongruent,correct
280167,-0.6016011412711598,incongruent,correct
280168,-0.6810556782370172,incongruent,correct
280169,-0.6448310548221455,incongruent,correct
280170,-0.6588784110510065,incongruent,correct
280171,-0.6573324158729956,incongruent,correct
280172,-0.5874350285850519,incongruent,correct
280187,-0.6378207468822338,incongruent,correct
280188,-0.6623425380286503,incongruent,correct
280191,-0.7339096004454199,incongruent,correct
280192,-0.6258033177610759,incongruent,correct
280193,-0.6133438544941139,incongruent,correct
280197,-0.7457698710113535,incongruent,correct
280198,-0.5698438387133672,incongruent,correct
280199,-0.6541424497332833,incongruent,correct
280200,-0.8018372198624772,incongruent,correct
280202,-0.7186203858844409,incongruent,correct
280203,-0.6333461127622279,incongruent,correct
280205,-0.750939176346714,incongruent,correct
280206,-0.5960377061156933,incongruent,correct
280208,-0.6547519364329837,incongruent,correct
280210,-0.6295713534571565,incongruent,correct
280223,-0.6293447387075907,incongruent,correct
280232,-0.6475600484290871,incongruent,correct
280233,-0.5700139116206195,incongruent,correct
280239,-0.616435821745411,incongruent,correct
280242,-0.7566830143677592,incongruent,correct
280275,-0.6952176165989411,incongruent,correct
280276,-0.645489087049642,incongruent,correct
280277,-0.6435314406885304,incongruent,correct
280278,-0.583121609411448,incongruent,correct
280279,-0.6968464990631165,incongruent,correct
280119,-0.8243576119579059,congruent,incorrect
280122,-0.6049714816232368,congruent,incorrect
280123,,congruent,incorrect
280126,,congruent,incorrect
280127,-0.713347161155969,congruent,incorrect
280128,-0.9730592511985604,congruent,incorrect
280131,-0.9960446890624789,congruent,incorrect
280133,-0.6376584418966312,congruent,incorrect
280134,,congruent,incorrect
280135,-0.5145067240233657,congruent,incorrect
280137,-0.9644867134077177,congruent,incorrect
280138,-1.0435086678728116,congruent,incorrect
280141,-0.6021904101403558,congruent,incorrect
280142,-1.1551174910696609,congruent,incorrect
280143,-0.47557801736380584,congruent,incorrect
280144,,congruent,incorrect
280145,-0.822126663002901,congruent,incorrect
280146,,congruent,incorrect
280147,,congruent,incorrect
280148,,congruent,incorrect
280153,,congruent,incorrect
280154,,congruent,incorrect
280156,-0.9692145645026323,congruent,incorrect
280157,-0.8314725683148315,congruent,incorrect
280159,-1.2061932677301865,congruent,incorrect
280160,,congruent,incorrect
280161,-1.11362849435478,congruent,incorrect
