sub,congruent,proportion
280119,fl_acc_con,0.9949494949494949
280122,fl_acc_con,0.9949494949494949
280123,fl_acc_con,1.0
280126,fl_acc_con,1.0
280127,fl_acc_con,0.9788359788359788
280128,fl_acc_con,0.995
280131,fl_acc_con,0.9948979591836735
280133,fl_acc_con,0.9894179894179894
280134,fl_acc_con,1.0
280135,fl_acc_con,0.9948453608247423
280137,fl_acc_con,0.9847715736040609
280138,fl_acc_con,0.9949238578680203
280141,fl_acc_con,0.9894179894179894
280142,fl_acc_con,0.9576719576719577
280143,fl_acc_con,0.9940476190476191
280144,fl_acc_con,1.0
280145,fl_acc_con,0.995
280146,fl_acc_con,1.0
280147,fl_acc_con,1.0
280148,fl_acc_con,1.0
280153,fl_acc_con,1.0
280154,fl_acc_con,1.0
280156,fl_acc_con,0.9441624365482234
280157,fl_acc_con,
280159,fl_acc_con,0.9948717948717949
280160,fl_acc_con,1.0
280161,fl_acc_con,0.9797979797979798
280162,fl_acc_con,0.9846153846153847
280163,fl_acc_con,1.0
280164,fl_acc_con,0.9847715736040609
280165,fl_acc_con,0.98989898989899
280166,fl_acc_con,1.0
280167,fl_acc_con,0.9947368421052631
280168,fl_acc_con,0.9606741573033708
280169,fl_acc_con,0.9623655913978495
280170,fl_acc_con,0.9897959183673469
280171,fl_acc_con,1.0
280172,fl_acc_con,0.9891304347826086
280187,fl_acc_con,0.9849246231155779
280188,fl_acc_con,1.0
280191,fl_acc_con,0.98
280192,fl_acc_con,0.9841269841269841
280193,fl_acc_con,0.968421052631579
280197,fl_acc_con,
280198,fl_acc_con,1.0
280199,fl_acc_con,0.9746192893401016
280200,fl_acc_con,
280202,fl_acc_con,0.99
280203,fl_acc_con,1.0
280205,fl_acc_con,1.0
280206,fl_acc_con,1.0
280208,fl_acc_con,0.967741935483871
280210,fl_acc_con,1.0
280223,fl_acc_con,0.9947916666666666
280232,fl_acc_con,1.0
280233,fl_acc_con,0.9946236559139785
280239,fl_acc_con,1.0
280242,fl_acc_con,1.0
280275,fl_acc_con,0.9740932642487047
280276,fl_acc_con,0.99
280277,fl_acc_con,
280278,fl_acc_con,0.9794871794871794
280279,fl_acc_con,0.9899497487437185
280119,fl_acc_incon,0.9333333333333333
280122,fl_acc_incon,0.7936507936507936
280123,fl_acc_incon,0.9277777777777778
280126,fl_acc_incon,0.8238636363636364
280127,fl_acc_incon,0.7989690721649485
280128,fl_acc_incon,0.925531914893617
280131,fl_acc_incon,0.7828571428571428
280133,fl_acc_incon,0.8854166666666666
280134,fl_acc_incon,0.7731958762886598
280135,fl_acc_incon,0.7297297297297297
280137,fl_acc_incon,0.7533333333333333
280138,fl_acc_incon,0.9396984924623115
280141,fl_acc_incon,0.837696335078534
280142,fl_acc_incon,0.6444444444444445
280143,fl_acc_incon,0.8789808917197452
280144,fl_acc_incon,0.8333333333333334
280145,fl_acc_incon,0.7727272727272727
280146,fl_acc_incon,0.9553072625698324
280147,fl_acc_incon,0.8594594594594595
280148,fl_acc_incon,0.6989795918367347
280153,fl_acc_incon,0.8294117647058824
280154,fl_acc_incon,0.888268156424581
280156,fl_acc_incon,0.9141414141414141
280157,fl_acc_incon,0.7903225806451613
280159,fl_acc_incon,0.8307692307692308
280160,fl_acc_incon,0.7555555555555555
280161,fl_acc_incon,0.7219251336898396
280162,fl_acc_incon,0.9690721649484536
280163,fl_acc_incon,0.6231155778894473
280164,fl_acc_incon,0.5661375661375662
280165,fl_acc_incon,0.5989847715736041
280166,fl_acc_incon,0.8901098901098901
280167,fl_acc_incon,0.9005524861878453
280168,fl_acc_incon,0.8579234972677595
280169,fl_acc_incon,0.875
280170,fl_acc_incon,0.7916666666666666
280171,fl_acc_incon,0.7206703910614525
280172,fl_acc_incon,0.9037433155080213
280187,fl_acc_incon,0.8061224489795918
280188,fl_acc_incon,0.8629441624365483
280191,fl_acc_incon,0.66
280192,fl_acc_incon,0.8238636363636364
280193,fl_acc_incon,0.8693181818181818
280197,fl_acc_incon,0.8783068783068783
280198,fl_acc_incon,0.7972972972972973
280199,fl_acc_incon,0.8316326530612245
280200,fl_acc_incon,0.8186528497409327
280202,fl_acc_incon,0.7222222222222222
280203,fl_acc_incon,0.8769230769230769
280205,fl_acc_incon,0.9798994974874372
280206,fl_acc_incon,0.8260869565217391
280208,fl_acc_incon,0.8938547486033519
280210,fl_acc_incon,0.8532608695652174
280223,fl_acc_incon,0.8287292817679558
280232,fl_acc_incon,0.9391304347826087
280233,fl_acc_incon,0.7674418604651163
280239,fl_acc_incon,0.96045197740113
280242,fl_acc_incon,0.9195979899497487
280275,fl_acc_incon,0.5867346938775511
280276,fl_acc_incon,0.8032786885245902
280277,fl_acc_incon,0.6024096385542169
280278,fl_acc_incon,0.807909604519774
280279,fl_acc_incon,0.7461139896373057
