sub,acc,similarity,prop_correct
280119,1,2.15,0.5388888888888889
280122,1,2.1780821917808217,0.2876712328767123
280123,1,2.072289156626506,0.4457831325301205
280126,1,2.0344827586206895,0.3586206896551724
280127,1,2.1973684210526314,0.5263157894736842
280128,1,2.0919540229885056,0.5287356321839081
280131,1,2.2992700729927007,0.35036496350364965
280133,1,2.0833333333333335,0.35714285714285715
280134,1,2.1266666666666665,0.36666666666666664
280135,1,2.122137404580153,0.4198473282442748
280137,1,2.150442477876106,0.46017699115044247
280138,1,1.9945652173913044,0.42934782608695654
280141,1,2.2038216560509554,0.3630573248407643
280142,1,2.036697247706422,0.46788990825688076
280143,1,2.0434782608695654,0.3826086956521739
280144,1,2.2392638036809815,0.4785276073619632
280145,1,2.2266666666666666,0.5333333333333333
280146,1,2.0,0.5411764705882353
280147,1,2.0789473684210527,0.39473684210526316
280148,1,2.176470588235294,0.4117647058823529
280153,1,2.198581560283688,0.3900709219858156
280154,1,2.0921052631578947,0.40789473684210525
280156,1,1.9830508474576272,0.3615819209039548
280157,1,2.0827586206896553,0.43448275862068964
280159,1,2.0062111801242235,0.5341614906832298
280160,1,2.2444444444444445,0.4740740740740741
280161,1,2.074626865671642,0.417910447761194
280162,1,2.0670391061452515,0.4860335195530726
280163,1,2.024390243902439,0.4715447154471545
280164,1,2.03,0.45
280165,1,2.016949152542373,0.288135593220339
280166,1,2.217391304347826,0.463768115942029
280167,1,2.16875,0.51875
280168,1,2.0733333333333333,0.3
280169,1,2.1027397260273974,0.5958904109589042
280170,1,2.0789473684210527,0.5526315789473685
280171,1,2.2457627118644066,0.4830508474576271
280172,1,2.136904761904762,0.30357142857142855
280187,1,2.0258064516129033,0.6258064516129033
280188,1,2.0778443113772456,0.4550898203592814
280191,1,2.030534351145038,0.6641221374045801
280192,1,2.142857142857143,0.5285714285714286
280193,1,2.161073825503356,0.40939597315436244
280197,1,2.0121951219512195,0.34146341463414637
280198,1,2.0869565217391304,0.4434782608695652
280199,1,2.1202531645569622,0.5126582278481012
280200,1,2.286624203821656,0.33121019108280253
280202,1,2.2517482517482517,0.4405594405594406
280203,1,2.0617283950617282,0.4567901234567901
280205,1,1.9777777777777779,0.5222222222222223
280206,1,2.1904761904761907,0.47619047619047616
280208,1,2.120805369127517,0.3959731543624161
280210,1,2.014388489208633,0.49640287769784175
280223,1,2.1631205673758864,0.4397163120567376
280232,1,2.0833333333333335,0.4722222222222222
280233,1,2.0775193798449614,0.3333333333333333
280239,1,1.964071856287425,0.32934131736526945
280242,1,2.0552486187845305,0.49171270718232046
280275,1,2.1478260869565218,0.46956521739130436
280276,1,2.0952380952380953,0.36054421768707484
280277,1,2.0606060606060606,0.31313131313131315
280278,1,2.028985507246377,0.5072463768115942
280279,1,2.1875,0.4375
280119,0,2.0,0.38461538461538464
280122,0,1.9736842105263157,0.4473684210526316
280123,0,1.5833333333333333,0.25
280126,0,2.0,0.41935483870967744
280127,0,2.2051282051282053,0.48717948717948717
280128,0,2.5714285714285716,0.42857142857142855
280131,0,2.3684210526315788,0.3157894736842105
280133,0,1.9523809523809523,0.47619047619047616
280134,0,2.0681818181818183,0.3409090909090909
280135,0,2.18,0.5
280137,0,2.138888888888889,0.3611111111111111
280138,0,2.1666666666666665,0.3333333333333333
280141,0,2.161290322580645,0.3870967741935484
280142,0,2.125,0.40625
280143,0,1.6363636363636365,0.45454545454545453
280144,0,2.121212121212121,0.2727272727272727
280145,0,2.2222222222222223,0.4222222222222222
280146,0,1.75,
280147,0,1.72,0.48
280148,0,1.9830508474576272,0.5084745762711864
280153,0,1.9310344827586208,0.3793103448275862
280154,0,2.05,0.35
280156,0,2.1176470588235294,0.17647058823529413
280157,0,2.1315789473684212,0.39473684210526316
280159,0,2.03125,0.65625
280160,0,2.25,0.38636363636363635
280161,0,2.196078431372549,0.3333333333333333
280162,0,2.1666666666666665,0.5
280163,0,2.0,0.3142857142857143
280164,0,2.182926829268293,0.3780487804878049
280165,0,1.9873417721518987,0.3291139240506329
280166,0,2.3125,0.4375
280167,0,2.0555555555555554,0.3888888888888889
280168,0,2.1923076923076925,0.34615384615384615
280169,0,2.0,0.4
280170,0,2.2,0.5
280171,0,2.369565217391304,0.5
280172,0,1.8235294117647058,0.23529411764705882
280187,0,2.0555555555555554,0.5555555555555556
280188,0,2.1923076923076925,0.4230769230769231
280191,0,2.0606060606060606,
280192,0,1.7741935483870968,0.5161290322580645
280193,0,2.0,0.5454545454545454
280197,0,1.9090909090909092,0.5454545454545454
280198,0,1.896551724137931,0.4827586206896552
280199,0,2.0,0.3333333333333333
280200,0,2.4571428571428573,0.5428571428571428
280202,0,2.0754716981132075,0.3584905660377358
280203,0,2.25,0.3333333333333333
280205,0,,0.25
280206,0,2.3214285714285716,0.4642857142857143
280208,0,2.210526315789474,0.47368421052631576
280210,0,2.217391304347826,0.43478260869565216
280223,0,2.0344827586206895,0.4827586206896552
280232,0,2.4285714285714284,0.2857142857142857
280233,0,1.9743589743589745,0.41025641025641024
280239,0,1.7142857142857142,0.42857142857142855
280242,0,2.5,0.375
280275,0,1.962962962962963,0.345679012345679
280276,0,2.0277777777777777,0.25
280277,0,1.9696969696969697,0.30303030303030304
280278,0,2.5,0.375
280279,0,2.0416666666666665,0.5416666666666666
