sub,congruent,similarity,prop_correct
280119,1,2.11734693877551,0.5051020408163265
280122,1,2.005128205128205,0.38974358974358975
280123,1,2.1881720430107525,0.4032258064516129
280126,1,2.0051020408163267,0.28061224489795916
280127,1,2.0898876404494384,0.449438202247191
280128,1,2.1370558375634516,0.40609137055837563
280131,1,2.097938144329897,0.37628865979381443
280133,1,1.9781420765027322,0.3879781420765027
280134,1,2.180904522613065,0.32663316582914576
280135,1,2.1382978723404253,0.5106382978723404
280137,1,2.243523316062176,0.41450777202072536
280138,1,2.0,0.39896373056994816
280141,1,2.135135135135135,0.5297297297297298
280142,1,1.9828571428571429,0.32
280143,1,2.0802919708029197,0.35036496350364965
280144,1,2.0725388601036268,0.43005181347150256
280145,1,2.085858585858586,0.5
280146,1,2.077319587628866,0.6030927835051546
280147,1,2.047872340425532,0.4627659574468085
280148,1,2.098445595854922,0.43523316062176165
280153,1,2.1542857142857144,0.34285714285714286
280154,1,2.075268817204301,0.41935483870967744
280156,1,1.989010989010989,0.3076923076923077
280157,1,2.0,0.3696969696969697
280159,1,2.0,0.5233160621761658
280160,1,2.088082901554404,0.47668393782383417
280161,1,2.0631578947368423,0.3894736842105263
280162,1,2.0,0.4823529411764706
280163,1,2.0,0.4517766497461929
280164,1,2.142857142857143,0.4444444444444444
280165,1,2.020408163265306,0.32653061224489793
280166,1,2.2254335260115607,0.48554913294797686
280167,1,2.157608695652174,0.5380434782608695
280168,1,1.9285714285714286,0.32142857142857145
280169,1,2.0118343195266273,0.5384615384615384
280170,1,2.082474226804124,0.5257731958762887
280171,1,2.3257142857142856,0.4
280172,1,1.9833333333333334,0.4388888888888889
280187,1,2.0364583333333335,
280188,1,2.010152284263959,0.5126903553299492
280191,1,2.0,
280192,1,2.156756756756757,0.5405405405405406
280193,1,2.1049723756906076,0.430939226519337
280197,1,1.9941176470588236,0.37058823529411766
280198,1,2.0764705882352943,0.4176470588235294
280199,1,2.091891891891892,0.5513513513513514
280200,1,2.221590909090909,0.4147727272727273
280202,1,2.2216494845360826,0.4072164948453608
280203,1,2.04040404040404,0.40404040404040403
280205,1,2.036842105263158,0.41578947368421054
280206,1,2.092896174863388,0.4371584699453552
280208,1,2.206896551724138,0.41379310344827586
280210,1,2.010928961748634,0.4972677595628415
280223,1,2.1373626373626373,0.46703296703296704
280232,1,2.2035398230088497,0.40707964601769914
280233,1,2.0380434782608696,0.33152173913043476
280239,1,1.9308510638297873,0.3882978723404255
280242,1,2.1522842639593907,0.5634517766497462
280275,1,1.952127659574468,0.4627659574468085
280276,1,2.2346938775510203,0.4387755102040816
280277,1,2.142857142857143,0.37267080745341613
280278,1,2.0944444444444446,0.4722222222222222
280279,1,2.125,0.4375
280119,0,2.15,0.5388888888888889
280122,0,2.1780821917808217,0.2876712328767123
280123,0,2.072289156626506,0.4457831325301205
280126,0,2.0344827586206895,0.3586206896551724
280127,0,2.1973684210526314,0.5263157894736842
280128,0,2.0919540229885056,0.5287356321839081
280131,0,2.2992700729927007,0.35036496350364965
280133,0,2.0833333333333335,0.35714285714285715
280134,0,2.1266666666666665,0.36666666666666664
280135,0,2.122137404580153,0.4198473282442748
280137,0,2.150442477876106,0.46017699115044247
280138,0,1.9945652173913044,0.42934782608695654
280141,0,2.2038216560509554,0.3630573248407643
280142,0,2.036697247706422,0.46788990825688076
280143,0,2.0434782608695654,0.3826086956521739
280144,0,2.2392638036809815,0.4785276073619632
280145,0,2.2266666666666666,0.5333333333333333
280146,0,2.0,0.5411764705882353
280147,0,2.0789473684210527,0.39473684210526316
280148,0,2.176470588235294,0.4117647058823529
280153,0,2.198581560283688,0.3900709219858156
280154,0,2.0921052631578947,0.40789473684210525
280156,0,1.9830508474576272,0.3615819209039548
280157,0,2.0827586206896553,0.43448275862068964
280159,0,2.0062111801242235,0.5341614906832298
280160,0,2.2444444444444445,0.4740740740740741
280161,0,2.074626865671642,0.417910447761194
280162,0,2.0670391061452515,0.4860335195530726
280163,0,2.024390243902439,0.4715447154471545
280164,0,2.03,0.45
280165,0,2.016949152542373,0.288135593220339
280166,0,2.217391304347826,0.463768115942029
280167,0,2.16875,0.51875
280168,0,2.0733333333333333,0.3
280169,0,2.1027397260273974,0.5958904109589042
280170,0,2.0789473684210527,0.5526315789473685
280171,0,2.2457627118644066,0.4830508474576271
280172,0,2.136904761904762,0.30357142857142855
280187,0,2.0258064516129033,0.6258064516129033
280188,0,2.0778443113772456,0.4550898203592814
280191,0,2.030534351145038,0.6641221374045801
280192,0,2.142857142857143,0.5285714285714286
280193,0,2.161073825503356,0.40939597315436244
280197,0,2.0121951219512195,0.34146341463414637
280198,0,2.0869565217391304,0.4434782608695652
280199,0,2.1202531645569622,0.5126582278481012
280200,0,2.286624203821656,0.33121019108280253
280202,0,2.2517482517482517,0.4405594405594406
280203,0,2.0617283950617282,0.4567901234567901
280205,0,1.9777777777777779,0.5222222222222223
280206,0,2.1904761904761907,0.47619047619047616
280208,0,2.120805369127517,0.3959731543624161
280210,0,2.014388489208633,0.49640287769784175
280223,0,2.1631205673758864,0.4397163120567376
280232,0,2.0833333333333335,0.4722222222222222
280233,0,2.0775193798449614,0.3333333333333333
280239,0,1.964071856287425,0.32934131736526945
280242,0,2.0552486187845305,0.49171270718232046
280275,0,2.1478260869565218,0.46956521739130436
280276,0,2.0952380952380953,0.36054421768707484
280277,0,2.0606060606060606,0.31313131313131315
280278,0,2.028985507246377,0.5072463768115942
280279,0,2.1875,0.4375
